antecedents,consequent,support,confidence,zhangs_metric,rule_coverage
"['flow_Link_16__(79.199, 223.2]', 'flow_Link_30__(-284.4, 151.2]']",leak_label__class_0,0.243,1.0,0.581,0.243
"['flow_Link_16__(79.199, 223.2]', 'flow_Link_30__(151.2, 262.8]']",leak_label__class_0,0.067,1.0,0.471,0.067
"['flow_Link_16__(295.2, 486.0]', 'flow_Link_26__(-140.4, 104.4]']",leak_label__class_1,0.159,1.0,0.666,0.159
"['flow_Link_16__(295.2, 486.0]', 'flow_Link_26__(-273.6, -140.4]']",leak_label__class_1,0.141,1.0,0.653,0.141
"['flow_Link_16__(79.199, 223.2]', 'flow_Link_26__(-273.6, -140.4]']",leak_label__class_0,0.185,1.0,0.54,0.185
"['flow_Link_16__(79.199, 223.2]', 'flow_Link_26__(-572.401, -273.6]']",leak_label__class_0,0.07,1.0,0.473,0.07
"['flow_Link_16__(223.2, 295.2]', 'flow_Link_32__(-532.8, -46.8]']",leak_label__class_0,0.21,0.82,0.426,0.256
"['flow_Link_16__(223.2, 295.2]', 'flow_Link_32__(-579.601, -532.8]']",leak_label__class_1,0.045,1.0,0.587,0.045
"['flow_Link_16__(295.2, 486.0]', 'flow_Link_32__(-46.8, 3.6]']",leak_label__class_1,0.012,1.0,0.567,0.012
"['flow_Link_16__(295.2, 486.0]', 'flow_Link_32__(-579.601, -532.8]']",leak_label__class_1,0.304,1.0,0.805,0.304
"['flow_Link_16__(79.199, 223.2]', 'flow_Link_32__(-46.8, 3.6]']",leak_label__class_0,0.245,1.0,0.583,0.245
"['flow_Link_16__(79.199, 223.2]', 'flow_Link_32__(-532.8, -46.8]']",leak_label__class_0,0.064,0.686,0.202,0.094
"['flow_Link_16__(295.2, 486.0]', 'flow_Link_8__(1000.8, 1285.2]']",leak_label__class_1,0.086,1.0,0.613,0.086
"['flow_Link_16__(295.2, 486.0]', 'flow_Link_8__(1285.2, 3538.8]']",leak_label__class_1,0.229,0.936,0.702,0.245
"['flow_Link_16__(79.199, 223.2]', 'flow_Link_8__(1000.8, 1285.2]']",leak_label__class_0,0.092,1.0,0.484,0.092
"['flow_Link_16__(79.199, 223.2]', 'flow_Link_8__(392.399, 1000.8]']",leak_label__class_0,0.218,0.881,0.484,0.247
"['flow_Link_16__(295.2, 486.0]', 'flow_Link_9__(1119.6, 3358.8]']",leak_label__class_1,0.233,0.937,0.706,0.249
"['flow_Link_16__(295.2, 486.0]', 'flow_Link_9__(870.0, 1119.6]']",leak_label__class_1,0.082,1.0,0.611,0.082
"['flow_Link_16__(79.199, 223.2]', 'flow_Link_9__(331.199, 870.0]']",leak_label__class_0,0.219,0.882,0.485,0.249
"['flow_Link_16__(79.199, 223.2]', 'flow_Link_9__(870.0, 1119.6]']",leak_label__class_0,0.09,1.0,0.483,0.09
"['flow_Link_16__(295.2, 486.0]', 'flow_Link_33__(554.4, 633.6]']",leak_label__class_1,0.304,1.0,0.805,0.304
"['flow_Link_16__(295.2, 486.0]', 'flow_Link_33__(7.199, 79.2]']",leak_label__class_1,0.012,1.0,0.567,0.012
"['flow_Link_16__(295.2, 486.0]', 'flow_Link_33__(79.2, 554.4]']",leak_label__class_1,0.0,0.028,-0.937,0.016
"['flow_Link_16__(79.199, 223.2]', 'flow_Link_33__(7.199, 79.2]']",leak_label__class_0,0.288,1.0,0.618,0.288
"['flow_Link_16__(79.199, 223.2]', 'flow_Link_33__(79.2, 554.4]']",leak_label__class_0,0.021,0.42,-0.26,0.051
"['flow_Link_16__(223.2, 295.2]', 'flow_Link_27__(-7.2, 183.6]']",leak_label__class_0,0.039,0.997,0.456,0.039
"['flow_Link_16__(223.2, 295.2]', 'flow_Link_27__(183.6, 223.2]']",leak_label__class_1,0.091,1.0,0.616,0.091
"['flow_Link_16__(295.2, 486.0]', 'flow_Link_27__(183.6, 223.2]']",leak_label__class_1,0.204,1.0,0.704,0.204
"['flow_Link_16__(79.199, 223.2]', 'flow_Link_27__(-230.401, -7.2]']",leak_label__class_0,0.148,1.0,0.516,0.148
"['flow_Link_16__(79.199, 223.2]', 'flow_Link_27__(-7.2, 183.6]']",leak_label__class_0,0.162,1.0,0.525,0.162
"['flow_Link_4__(2512.8, 4982.4]', 'flow_Link_5__(2271.6, 4701.6]']",leak_label__class_1,0.219,0.666,0.506,0.328
"['flow_Link_4__(1980.0, 2512.8]', 'flow_Link_29__(1432.8, 1483.2]']",leak_label__class_1,0.1,1.0,0.622,0.1
"['flow_Link_4__(1980.0, 2512.8]', 'flow_Link_29__(244.8, 1432.8]']",leak_label__class_0,0.118,1.0,0.499,0.118
"['flow_Link_4__(1980.0, 2512.8]', 'flow_Link_29__(79.199, 244.8]']",leak_label__class_0,0.116,1.0,0.498,0.116
"['flow_Link_4__(2512.8, 4982.4]', 'flow_Link_29__(1432.8, 1483.2]']",leak_label__class_1,0.097,1.0,0.62,0.097
"['flow_Link_4__(831.599, 1980.0]', 'flow_Link_29__(1432.8, 1483.2]']",leak_label__class_1,0.121,1.0,0.637,0.121
"['flow_Link_4__(831.599, 1980.0]', 'flow_Link_29__(244.8, 1432.8]']",leak_label__class_0,0.0,0.0,0.0,0.0
"['flow_Link_4__(1980.0, 2512.8]', 'flow_Link_15__(-43.2, 39.6]']",leak_label__class_0,0.044,0.875,0.379,0.051
"['flow_Link_4__(1980.0, 2512.8]', 'flow_Link_15__(39.6, 79.2]']",leak_label__class_1,0.093,1.0,0.618,0.093
"['flow_Link_4__(2512.8, 4982.4]', 'flow_Link_15__(39.6, 79.2]']",leak_label__class_1,0.096,1.0,0.62,0.096
"['flow_Link_4__(831.599, 1980.0]', 'flow_Link_15__(-43.2, 39.6]']",leak_label__class_0,0.179,1.0,0.536,0.179
"['flow_Link_4__(831.599, 1980.0]', 'flow_Link_15__(39.6, 79.2]']",leak_label__class_1,0.121,1.0,0.637,0.121
"['flow_Link_4__(2512.8, 4982.4]', 'flow_Link_7__(1476.0, 3762.0]']",leak_label__class_1,0.218,0.69,0.531,0.316
"['flow_Link_4__(2512.8, 4982.4]', 'flow_Link_6__(1929.6, 4276.8]']",leak_label__class_1,0.218,0.674,0.514,0.323
"['flow_Link_4__(2512.8, 4982.4]', 'flow_Link_14__(126.0, 187.2]']",leak_label__class_1,0.201,1.0,0.701,0.201
"['flow_Link_4__(1980.0, 2512.8]', 'flow_Link_28__(86.4, 266.4]']",leak_label__class_0,0.127,1.0,0.504,0.127
"['flow_Link_4__(2512.8, 4982.4]', 'flow_Link_28__(266.4, 349.2]']",leak_label__class_1,0.204,1.0,0.704,0.204
"['flow_Link_4__(2512.8, 4982.4]', 'flow_Link_10__(651.6, 3160.8]']",leak_label__class_1,0.195,0.646,0.458,0.302
"['flow_Link_4__(2512.8, 4982.4]', 'flow_Link_2__(6988.8, 11120.4]']",leak_label__class_1,0.214,0.827,0.632,0.259
"['flow_Link_4__(1980.0, 2512.8]', 'flow_Link_3__(2012.4, 2552.4]']",leak_label__class_0,0.233,0.701,0.301,0.333
"['flow_Link_4__(2512.8, 4982.4]', 'flow_Link_3__(2552.4, 5032.8]']",leak_label__class_1,0.219,0.661,0.501,0.332
"['flow_Link_4__(2512.8, 4982.4]', 'flow_Link_11__(482.4, 2980.8]']",leak_label__class_1,0.195,0.654,0.467,0.299
"['flow_Link_4__(2512.8, 4982.4]', 'flow_Link_13__(-226.80100000000002, 223.2]']",leak_label__class_1,0.015,1.0,0.569,0.015
"['flow_Link_4__(2512.8, 4982.4]', 'flow_Link_1__(7257.6, 11545.2]']",leak_label__class_1,0.214,0.821,0.628,0.261
"['flow_Link_4__(1980.0, 2512.8]', 'flow_Link_12__(291.6, 496.8]']",leak_label__class_0,0.034,0.833,0.341,0.041
"['flow_Link_4__(2512.8, 4982.4]', 'flow_Link_12__(223.2, 291.6]']",leak_label__class_1,0.035,0.759,0.441,0.046
"['flow_Link_4__(2512.8, 4982.4]', 'flow_Link_12__(79.199, 223.2]']",leak_label__class_1,0.006,1.0,0.563,0.006
"['flow_Link_4__(831.599, 1980.0]', 'flow_Link_12__(291.6, 496.8]']",leak_label__class_0,0.0,0.0,0.0,0.0
"['flow_Link_4__(1980.0, 2512.8]', 'flow_Link_23__(478.79900000000004, 1443.6]']",leak_label__class_0,0.115,1.0,0.497,0.115
"['flow_Link_4__(2512.8, 4982.4]', 'flow_Link_23__(2566.8, 3733.2]']",leak_label__class_1,0.204,1.0,0.704,0.204
"['flow_Link_4__(1980.0, 2512.8]', 'flow_Link_22__(140.4, 244.8]']",leak_label__class_0,0.033,0.822,0.332,0.04
"['flow_Link_4__(2512.8, 4982.4]', 'flow_Link_22__(43.199000000000005, 108.0]']",leak_label__class_1,0.006,1.0,0.564,0.006
"['flow_Link_4__(831.599, 1980.0]', 'flow_Link_22__(140.4, 244.8]']",leak_label__class_0,0.0,0.0,0.0,0.0
"['flow_Link_4__(1980.0, 2512.8]', 'flow_Link_34__(320.4, 712.8]']",leak_label__class_0,0.121,1.0,0.5,0.121
