antecedents,consequent,support,confidence,zhangs_metric,rule_coverage
"['flow_Link_4__(2725.2, 4982.4]', 'flow_Link_30__(-324.0, -248.4]']",leak_label__class_1,0.113,1.0,0.632,0.113
"['flow_Link_4__(1504.8, 2124.0]', 'flow_Link_26__(-100.8, 104.4]']",leak_label__class_1,0.068,1.0,0.601,0.068
"['flow_Link_4__(1504.8, 2124.0]', 'flow_Link_26__(-313.2, -244.8]']",leak_label__class_0,0.079,1.0,0.477,0.079
"['flow_Link_4__(1504.8, 2124.0]', 'flow_Link_26__(-572.401, -313.2]']",leak_label__class_0,0.0,1.0,0.44,0.0
"['flow_Link_4__(2124.0, 2422.8]', 'flow_Link_26__(-100.8, 104.4]']",leak_label__class_1,0.05,1.0,0.59,0.05
"['flow_Link_4__(2124.0, 2422.8]', 'flow_Link_26__(-572.401, -313.2]']",leak_label__class_0,0.037,1.0,0.457,0.037
"['flow_Link_4__(2422.8, 2725.2]', 'flow_Link_26__(-100.8, 104.4]']",leak_label__class_1,0.009,1.0,0.565,0.009
"['flow_Link_4__(1504.8, 2124.0]', 'flow_Link_32__(-522.0, -54.0]']",leak_label__class_0,0.004,1.0,0.442,0.004
"['flow_Link_4__(2124.0, 2422.8]', 'flow_Link_32__(-522.0, -54.0]']",leak_label__class_0,0.052,1.0,0.464,0.052
"['flow_Link_4__(2422.8, 2725.2]', 'flow_Link_32__(-522.0, -54.0]']",leak_label__class_0,0.081,1.0,0.479,0.081
"['flow_Link_4__(2422.8, 2725.2]', 'flow_Link_32__(-579.601, -547.2]']",leak_label__class_1,0.077,1.0,0.607,0.077
"['flow_Link_4__(2725.2, 4982.4]', 'flow_Link_32__(-579.601, -547.2]']",leak_label__class_1,0.127,1.0,0.642,0.127
"['flow_Link_4__(2725.2, 4982.4]', 'flow_Link_8__(1404.0, 3538.8]']",leak_label__class_1,0.149,0.803,0.555,0.185
"['flow_Link_4__(2725.2, 4982.4]', 'flow_Link_9__(1227.6, 3358.8]']",leak_label__class_1,0.149,0.809,0.559,0.184
"['flow_Link_4__(1504.8, 2124.0]', 'flow_Link_33__(64.8, 86.4]']",leak_label__class_0,0.062,1.0,0.469,0.062
"['flow_Link_4__(1504.8, 2124.0]', 'flow_Link_33__(86.4, 536.4]']",leak_label__class_0,0.0,1.0,0.44,0.0
"['flow_Link_4__(2124.0, 2422.8]', 'flow_Link_33__(64.8, 86.4]']",leak_label__class_0,0.112,1.0,0.495,0.112
"['flow_Link_4__(2725.2, 4982.4]', 'flow_Link_33__(583.2, 633.6]']",leak_label__class_1,0.125,1.0,0.64,0.125
"['flow_Link_4__(1504.8, 2124.0]', 'flow_Link_27__(-14.4, -3.6]']",leak_label__class_0,0.066,1.0,0.471,0.066
"['flow_Link_4__(1504.8, 2124.0]', 'flow_Link_27__(-3.6, 172.8]']",leak_label__class_0,0.025,1.0,0.451,0.025
"['flow_Link_4__(1504.8, 2124.0]', 'flow_Link_27__(194.4, 223.2]']",leak_label__class_1,0.059,1.0,0.595,0.059
"['flow_Link_4__(2124.0, 2422.8]', 'flow_Link_27__(-14.4, -3.6]']",leak_label__class_0,0.056,1.0,0.466,0.056
"['flow_Link_4__(2124.0, 2422.8]', 'flow_Link_27__(-3.6, 172.8]']",leak_label__class_0,0.015,0.996,0.444,0.015
"['flow_Link_4__(2124.0, 2422.8]', 'flow_Link_27__(194.4, 223.2]']",leak_label__class_1,0.028,1.0,0.577,0.028
"['flow_Link_4__(2422.8, 2725.2]', 'flow_Link_27__(-14.4, -3.6]']",leak_label__class_0,0.029,1.0,0.453,0.029
"['flow_Link_4__(2422.8, 2725.2]', 'flow_Link_27__(-3.6, 172.8]']",leak_label__class_0,0.007,0.841,0.337,0.009
"['flow_Link_4__(2422.8, 2725.2]', 'flow_Link_27__(194.4, 223.2]']",leak_label__class_1,0.028,1.0,0.576,0.028
"['flow_Link_5__(1368.0, 1918.8]', 'flow_Link_29__(1450.8, 1483.2]']",leak_label__class_1,0.067,1.0,0.601,0.067
"['flow_Link_5__(1368.0, 1918.8]', 'flow_Link_29__(262.8, 1414.8]']",leak_label__class_0,0.0,0.0,0.0,0.0
"['flow_Link_5__(1918.8, 2192.4]', 'flow_Link_29__(262.8, 1414.8]']",leak_label__class_0,0.015,1.0,0.446,0.015
"['flow_Link_5__(2192.4, 2469.6]', 'flow_Link_29__(1450.8, 1483.2]']",leak_label__class_1,0.002,1.0,0.561,0.002
"['flow_Link_5__(2192.4, 2469.6]', 'flow_Link_29__(262.8, 1414.8]']",leak_label__class_0,0.099,1.0,0.488,0.099
"['flow_Link_5__(2469.6, 4701.6]', 'flow_Link_29__(1414.8, 1450.8]']",leak_label__class_1,0.11,1.0,0.63,0.11
"['flow_Link_5__(2469.6, 4701.6]', 'flow_Link_29__(262.8, 1414.8]']",leak_label__class_0,0.046,0.602,0.076,0.076
"['flow_Link_5__(1368.0, 1918.8]', 'flow_Link_15__(-36.0, 25.2]']",leak_label__class_0,0.02,1.0,0.449,0.02
"['flow_Link_5__(1368.0, 1918.8]', 'flow_Link_15__(-50.4, -36.0]']",leak_label__class_0,0.09,1.0,0.483,0.09
"['flow_Link_5__(1368.0, 1918.8]', 'flow_Link_15__(50.4, 79.2]']",leak_label__class_1,0.063,1.0,0.598,0.063
"['flow_Link_5__(1918.8, 2192.4]', 'flow_Link_15__(-36.0, 25.2]']",leak_label__class_0,0.005,0.989,0.436,0.005
"['flow_Link_5__(1918.8, 2192.4]', 'flow_Link_15__(-50.4, -36.0]']",leak_label__class_0,0.062,1.0,0.469,0.062
"['flow_Link_5__(1918.8, 2192.4]', 'flow_Link_15__(50.4, 79.2]']",leak_label__class_1,0.033,1.0,0.579,0.033
"['flow_Link_5__(2192.4, 2469.6]', 'flow_Link_15__(-50.4, -36.0]']",leak_label__class_0,0.024,1.0,0.45,0.024
"['flow_Link_5__(2192.4, 2469.6]', 'flow_Link_15__(50.4, 79.2]']",leak_label__class_1,0.025,1.0,0.575,0.025
"['flow_Link_5__(2469.6, 4701.6]', 'flow_Link_15__(25.2, 50.4]']",leak_label__class_1,0.101,1.0,0.623,0.101
"['flow_Link_5__(2469.6, 4701.6]', 'flow_Link_7__(1609.2, 3762.0]']",leak_label__class_1,0.149,0.789,0.546,0.189
"['flow_Link_5__(2469.6, 4701.6]', 'flow_Link_6__(2098.8, 4276.8]']",leak_label__class_1,0.15,0.78,0.54,0.192
"['flow_Link_5__(1368.0, 1918.8]', 'flow_Link_14__(28.8, 43.2]']",leak_label__class_0,0.07,1.0,0.473,0.07
"['flow_Link_5__(1918.8, 2192.4]', 'flow_Link_14__(28.8, 43.2]']",leak_label__class_0,0.082,1.0,0.479,0.082
"['flow_Link_5__(2192.4, 2469.6]', 'flow_Link_14__(28.8, 43.2]']",leak_label__class_0,0.049,1.0,0.462,0.049
"['flow_Link_5__(2469.6, 4701.6]', 'flow_Link_14__(115.2, 140.4]']",leak_label__class_1,0.028,1.0,0.576,0.028
"['flow_Link_5__(1368.0, 1918.8]', 'flow_Link_28__(68.4, 93.6]']",leak_label__class_0,0.079,1.0,0.477,0.079
"['flow_Link_5__(1368.0, 1918.8]', 'flow_Link_28__(93.6, 244.8]']",leak_label__class_0,0.002,1.0,0.441,0.002
"['flow_Link_5__(1918.8, 2192.4]', 'flow_Link_28__(68.4, 93.6]']",leak_label__class_0,0.1,1.0,0.489,0.1
"['flow_Link_5__(1918.8, 2192.4]', 'flow_Link_28__(93.6, 244.8]']",leak_label__class_0,0.039,1.0,0.458,0.039
"['flow_Link_5__(2192.4, 2469.6]', 'flow_Link_28__(68.4, 93.6]']",leak_label__class_0,0.037,1.0,0.456,0.037
"['flow_Link_5__(2192.4, 2469.6]', 'flow_Link_28__(93.6, 244.8]']",leak_label__class_0,0.071,1.0,0.473,0.071
"['flow_Link_5__(2469.6, 4701.6]', 'flow_Link_28__(298.8, 349.2]']",leak_label__class_1,0.129,1.0,0.643,0.129
"['flow_Link_5__(2469.6, 4701.6]', 'flow_Link_10__(702.0, 3160.8]']",leak_label__class_1,0.133,0.752,0.505,0.177
"['flow_Link_5__(2469.6, 4701.6]', 'flow_Link_3__(2772.0, 5032.8]']",leak_label__class_1,0.149,0.766,0.529,0.194
"['flow_Link_5__(2469.6, 4701.6]', 'flow_Link_11__(522.0, 2980.8]']",leak_label__class_1,0.131,0.757,0.506,0.172
"['flow_Link_5__(2192.4, 2469.6]', 'flow_Link_23__(2322.0, 3020.4]']",leak_label__class_1,0.031,1.0,0.578,0.031
"['flow_Link_5__(1368.0, 1918.8]', 'flow_Link_22__(151.2, 244.8]']",leak_label__class_0,0.0,0.0,0.0,0.0
