antecedents,consequent,support,confidence,zhangs_metric,rule_coverage
"['demand_Node_2__demand_Node_2__(242.64, 308.16]', 'flow_Link_9__flow_Link_9__(328.172, 936.72]']",class__1.0,0.001,0.054,-0.879,0.024
"['demand_Node_2__demand_Node_2__(242.64, 308.16]', 'flow_Link_9__flow_Link_9__(936.72, 1542.24]']",class__1.0,0.174,0.452,0.045,0.385
"['demand_Node_2__demand_Node_2__(308.16, 373.68]', 'flow_Link_9__flow_Link_9__(328.172, 936.72]']",class__1.0,0.0,0.0,0.0,0.0
"['demand_Node_2__demand_Node_2__(308.16, 373.68]', 'flow_Link_9__flow_Link_9__(936.72, 1542.24]']",class__1.0,0.075,0.63,0.343,0.119
"['demand_Node_2__demand_Node_2__(111.272, 177.12]', 'flow_Link_26__flow_Link_26__(-166.32, -30.96]']",class__1.0,0.0,0.0,-1.0,0.097
"['demand_Node_2__demand_Node_2__(177.12, 242.64]', 'flow_Link_26__flow_Link_26__(-166.32, -30.96]']",class__1.0,0.041,0.951,0.562,0.043
"['demand_Node_2__demand_Node_2__(177.12, 242.64]', 'flow_Link_26__flow_Link_26__(-301.68, -166.32]']",class__1.0,0.0,0.0,-1.0,0.155
"['demand_Node_2__demand_Node_2__(177.12, 242.64]', 'flow_Link_26__flow_Link_26__(-437.04, -301.68]']",class__1.0,0.002,0.204,-0.539,0.012
"['demand_Node_2__demand_Node_2__(242.64, 308.16]', 'flow_Link_26__flow_Link_26__(-166.32, -30.96]']",class__1.0,0.155,1.0,0.663,0.155
"['demand_Node_2__demand_Node_2__(242.64, 308.16]', 'flow_Link_26__flow_Link_26__(-301.68, -166.32]']",class__1.0,0.02,0.237,-0.484,0.084
"['demand_Node_2__demand_Node_2__(242.64, 308.16]', 'flow_Link_26__flow_Link_26__(-437.04, -301.68]']",class__1.0,0.0,0.0,-0.999,0.169
"['demand_Node_2__demand_Node_2__(308.16, 373.68]', 'flow_Link_26__flow_Link_26__(-166.32, -30.96]']",class__1.0,0.022,1.0,0.573,0.022
"['demand_Node_2__demand_Node_2__(308.16, 373.68]', 'flow_Link_26__flow_Link_26__(-301.68, -166.32]']",class__1.0,0.059,0.999,0.595,0.06
"['demand_Node_2__demand_Node_2__(308.16, 373.68]', 'flow_Link_26__flow_Link_26__(-437.04, -301.68]']",class__0.0,0.042,0.996,0.457,0.042
"['demand_Node_2__demand_Node_2__(111.272, 177.12]', 'flow_Link_23__flow_Link_23__(1780.56, 2431.44]']",class__1.0,0.058,1.0,0.595,0.058
